"id","Policy_start_date","Age","Annual_premium","Vehicle_year","Claim_amount","Vehicle_risk_type","Area"
"1",2013-11-29,38,380.2,2013,0,2,0
"2",2013-11-29,38,393.5,2013,0,2,0
"3",2013-11-29,38,393.5,2013,0,2,0
"4",2013-11-29,38,395.47,2013,0,2,0
"5",2006-05-29,39,250.52,2006,0,2,0
"6",2006-05-29,39,258.04,2006,0,2,0
"7",2006-05-29,39,259.32,2006,0,2,0
"8",2015-02-11,68,340.43,2009,2162.89,2,0
"9",2001-05-28,60,335.82,2001,0,2,0
"10",2001-05-28,60,345.91,2001,0,2,0
"11",2001-05-28,60,342.46,2001,0,2,0
"12",2013-10-24,64,259.12,2013,0,2,0
"13",2013-10-24,64,214.34,2013,0,2,0
"14",2017-01-13,67,294.93,2013,0,2,0
"15",2017-01-13,67,290.5,2013,0,2,0
"16",2017-05-10,67,253.41,2013,0,2,0
"17",2017-05-10,67,243.62,2013,0,2,0
"18",2016-04-05,70,474.49,2007,297.32,1,0
"19",2016-04-05,70,483.98,2007,440.96,1,0
"20",2016-04-05,70,488.81,2007,0,1,0
"21",2016-05-13,65,248.68,2007,0,2,1
"22",2016-05-13,65,257.39,2007,0,2,1
"23",2016-05-13,65,254.81,2007,0,2,1
"24",2015-09-25,64,437.32,2015,0,2,1
"25",2015-09-25,64,446.24,2015,0,2,1
"26",2015-09-25,64,437.32,2015,0,2,1
"27",2015-07-24,70,314.3,2015,0,2,0
"28",2015-07-24,70,305.88,2015,0,2,0
"29",2015-07-24,70,305.9,2015,0,2,0
"30",2004-03-11,49,461.41,2001,0,2,0
"31",2004-03-11,49,466.03,2001,0,2,0
"32",2004-03-11,49,459.04,2001,0,2,0
"33",2009-08-10,51,347.28,2001,0,2,1
"34",2009-08-10,51,387.21,2001,0,2,1
"35",2009-08-10,51,391.07,2001,0,2,1
"36",2005-02-22,63,350.3,2005,64.46,2,1
"37",2005-02-22,63,327.54,2005,0,2,1
"38",2005-02-22,63,324.26,2005,0,2,1
"39",2018-01-11,75,265.69,2003,0,2,0
"40",2017-10-20,73,346.47,2009,0,2,1
"41",2017-10-20,73,356.84,2009,0,2,1
"42",2016-05-24,73,250.46,1991,0,2,0
"43",2016-05-24,73,259.22,1991,0,2,0
"44",2016-05-24,73,260.51,1991,0,2,0
"45",2014-11-11,70,274.61,2004,0,2,0
"46",2014-11-11,70,269.72,2004,0,2,0
"47",2014-11-11,70,269.72,2004,0,2,0
"48",2017-06-08,58,431.93,2012,0,2,1
"49",2017-06-08,58,444.88,2012,0,2,1
"50",2015-12-17,55,328.02,2001,0,1,0
"51",2018-02-20,71,229.88,2008,0,2,1
"52",2015-11-04,54,338.16,2011,0,2,0
"53",2015-11-04,54,348.31,2011,0,2,0
"54",2018-06-28,57,283.09,2006,0,1,0
"55",2015-01-24,54,322.56,2006,332.02,2,0
"56",2015-01-24,54,333.85,2006,0,2,0
"57",2015-01-24,54,333.85,2006,0,2,0
"58",2017-09-28,53,318.97,2014,0,2,1
"59",2017-09-28,53,571.49,2014,0,2,1
"60",2016-06-08,75,304.47,2001,0,2,1
"61",2016-06-08,75,313.61,2001,0,2,1
"62",2016-06-08,75,315.18,2001,0,2,1
"63",2016-06-21,75,326.33,2001,0,2,1
"64",2016-06-21,75,336.12,2001,0,2,1
"65",2016-06-21,75,337.82,2001,0,2,1
"66",2017-06-20,35,235.64,2003,882,2,0
"67",2017-06-20,35,236.83,2003,0,2,0
"68",2016-12-07,65,249.68,1990,0,2,0
"69",2016-12-07,65,254.67,1990,0,2,0
"70",2018-05-17,67,257.65,1990,0,2,0
"71",2014-10-21,61,249.27,1997,0,2,0
"72",2013-02-05,27,267.39,2005,57.35,2,0
"73",2013-02-05,27,275.4,2005,0,2,0
"74",2014-07-21,56,271.23,1997,0,1,0
"75",2010-11-29,52,357.46,2006,0,1,0
"76",2010-11-29,52,376.11,2006,0,1,0
"77",2012-10-15,51,363.9,1995,336.47,2,0
"78",2012-10-15,51,363.9,1995,997,2,0
"79",2012-10-15,51,485.81,1995,3545.73,2,0
"80",2010-10-01,66,291.71,2002,0,2,1
"81",2010-10-01,66,277.14,2002,0,2,1
